Flight ID,Date,Gliding Club,Region,Scoring Distance (km),Speed (kph),Completed,Vpoints,Hpoints,Dpoints,Bpoints,Total Score
15203,07/02/2010,Devon & Somerset Gliding Club,South West,100,40,FALSE,40,0,110,10,160
25816,07/02/2010,Yorkshire Gliding Club,North West,120,40,FALSE,40,20,160,0,220
7054,08/02/2010,Lasham Gliding Society,South East,120,60,FALSE,70,30,90,20,210
8992,08/02/2010,Buckminster Gliding Club,East Midlands,70,30,FALSE,30,30,70,10,140
12002,08/02/2010,Buckminster Gliding Club,East Midlands,60,30,TRUE,30,40,30,0,100
14678,08/02/2010,Husbands Bosworth Gliding Club,East Midlands,100,50,FALSE,60,30,90,0,180
19233,08/02/2010,Shalbourne Gliding Club,South East,70,30,FALSE,30,10,70,10,120
23282,08/02/2010,Scottish Gliding Centre,Scotland,60,40,FALSE,40,20,60,10,130
7949,09/02/2010,Cambridge Gliding Centre,East Anglia,140,60,FALSE,70,30,160,0,260
10327,09/02/2010,Shalbourne Gliding Club,South East,80,30,FALSE,30,20,110,0,160
13385,09/02/2010,London Gliding Club,East Midlands,110,40,TRUE,50,40,60,0,150
15809,09/02/2010,Lasham Gliding Society,South East,80,40,FALSE,30,10,70,10,120
18522,09/02/2010,Lasham Gliding Society,South East,60,20,FALSE,20,10,80,20,130
1651,10/02/2010,Buckminster Gliding Club,East Midlands,90,40,FALSE,30,20,110,10,170
4006,10/02/2010,Bristol & Gloucestershire Gliding Club,South West,80,30,FALSE,30,0,70,20,120
10555,10/02/2010,Devon & Somerset Gliding Club,South West,130,90,FALSE,70,40,150,0,260
19575,10/02/2010,Yorkshire Gliding Club,North West,50,20,TRUE,20,0,30,10,60
104,12/02/2010,London Gliding Club,East Midlands,70,40,TRUE,30,20,50,10,110
4675,12/02/2010,Lasham Gliding Society,South East,140,50,FALSE,50,40,80,10,180
7290,12/02/2010,Portmoak Gliding Club,Scotland,110,40,FALSE,50,30,120,10,210
9270,12/02/2010,Husbands Bosworth Gliding Club,East Midlands,110,40,FALSE,40,10,110,20,180
13678,12/02/2010,Norfolk Gliding Club,East Anglia,70,30,TRUE,30,0,100,20,150
17319,12/02/2010,Devon & Somerset Gliding Club,South West,150,60,FALSE,60,30,180,20,290
21983,12/02/2010,Scottish Gliding Centre,Scotland,100,50,FALSE,40,10,150,10,210
4787,13/02/2010,Shalbourne Gliding Club,South East,140,80,FALSE,90,40,70,20,220
6482,13/02/2010,Lasham Gliding Society,South East,70,30,FALSE,30,40,40,10,120
8049,13/02/2010,London Gliding Club,East Midlands,130,60,FALSE,70,40,190,20,320
8241,13/02/2010,Cambridge Gliding Centre,East Anglia,60,30,TRUE,30,20,70,0,120
15872,13/02/2010,Dunstable Gliding Club,East Midlands,80,30,FALSE,30,10,60,0,100
17155,13/02/2010,Gransden Lodge Gliding Club,East Anglia,80,40,FALSE,40,20,60,10,130
19548,13/02/2010,Cambridge Gliding Centre,East Anglia,110,40,FALSE,40,10,140,0,190
20486,13/02/2010,Dunstable Gliding Club,East Midlands,70,40,FALSE,50,50,80,10,190
23880,13/02/2010,Portmoak Gliding Club,Scotland,100,50,TRUE,50,40,70,0,160
15665,14/02/2010,Bristol & Gloucestershire Gliding Club,South West,70,40,TRUE,40,20,50,0,110
16809,14/02/2010,London Gliding Club,East Midlands,80,50,TRUE,50,10,60,10,130
19279,14/02/2010,Yorkshire Gliding Club,North West,130,50,TRUE,50,10,190,0,250
21707,14/02/2010,Bristol & Gloucestershire Gliding Club,South West,120,40,FALSE,50,40,80,20,190
22040,14/02/2010,Buckminster Gliding Club,East Midlands,90,50,TRUE,60,40,130,20,250
25795,14/02/2010,Lasham Gliding Society,South East,120,70,FALSE,70,10,150,0,230
335,15/02/2010,Buckminster Gliding Club,East Midlands,80,30,FALSE,30,20,50,10,110
1639,15/02/2010,Scottish Gliding Centre,Scotland,70,20,TRUE,20,40,40,20,120
2880,15/02/2010,Dunstable Gliding Club,East Midlands,130,50,FALSE,50,50,130,10,240
8994,15/02/2010,Portmoak Gliding Club,Scotland,120,40,FALSE,40,30,150,10,230
14585,15/02/2010,Cambridge Gliding Centre,East Anglia,70,40,FALSE,40,20,50,0,110
14931,15/02/2010,Gransden Lodge Gliding Club,East Anglia,150,60,FALSE,60,10,220,10,300
17950,15/02/2010,Yorkshire Gliding Club,North West,70,30,FALSE,30,40,90,10,170
18379,15/02/2010,Cotswold Gliding Club,West Midlands,90,40,FALSE,40,20,90,10,160
20142,15/02/2010,Gransden Lodge Gliding Club,East Anglia,130,40,FALSE,40,10,70,10,130
1321,16/02/2010,Talgarth Gliding Club,South Wales,130,50,FALSE,60,20,120,0,200
8928,16/02/2010,Portmoak Gliding Club,Scotland,90,40,TRUE,40,50,110,20,220
12949,16/02/2010,Lasham Gliding Society,South East,100,50,FALSE,40,30,90,0,160
15517,16/02/2010,Lasham Gliding Society,South East,120,40,TRUE,50,30,150,10,240
17010,16/02/2010,London Gliding Club,East Midlands,140,90,FALSE,100,30,170,20,320
17606,16/02/2010,Shalbourne Gliding Club,South East,90,30,TRUE,30,40,70,10,150
18314,16/02/2010,Buckminster Gliding Club,East Midlands,100,40,FALSE,50,40,90,0,180
19005,16/02/2010,Cambridge Gliding Centre,East Anglia,70,30,TRUE,20,30,80,0,130
20126,16/02/2010,London Gliding Club,East Midlands,110,60,TRUE,50,10,130,10,200
25246,16/02/2010,Norfolk Gliding Club,East Anglia,60,30,FALSE,30,30,50,10,120
1223,17/02/2010,London Gliding Club,East Midlands,70,30,FALSE,20,40,70,10,140
4088,17/02/2010,London Gliding Club,East Midlands,70,30,TRUE,40,40,50,20,150
4745,17/02/2010,Midland Gliding Club,West Midlands,120,50,TRUE,50,30,150,10,240
7900,17/02/2010,Buckminster Gliding Club,East Midlands,110,70,FALSE,70,10,60,10,150
8532,17/02/2010,Cambridge Gliding Centre,East Anglia,140,50,FALSE,50,40,150,10,250
18130,17/02/2010,Dunstable Gliding Club,East Midlands,60,30,FALSE,30,20,80,10,140
18979,17/02/2010,Midland Gliding Club,West Midlands,100,50,FALSE,60,10,120,20,210
19742,17/02/2010,Buckminster Gliding Club,East Midlands,140,80,FALSE,100,40,90,10,240
21265,17/02/2010,Norfolk Gliding Club,East Anglia,160,120,FALSE,110,40,110,10,270
3660,18/02/2010,Midland Gliding Club,West Midlands,90,40,FALSE,30,30,80,0,140
8620,18/02/2010,London Gliding Club,East Midlands,80,30,TRUE,30,20,120,10,180
10121,18/02/2010,Lasham Gliding Society,South East,130,50,TRUE,50,20,120,20,210
12284,18/02/2010,Yorkshire Gliding Club,North West,120,70,FALSE,60,0,100,10,170
8445,19/02/2010,Bristol & Gloucestershire Gliding Club,South West,80,40,FALSE,40,40,70,0,150
10310,19/02/2010,Cambridge Gliding Centre,East Anglia,100,60,FALSE,50,30,90,10,180
8301,20/02/2010,Portmoak Gliding Club,Scotland,50,20,FALSE,20,50,50,20,140
10656,20/02/2010,Portmoak Gliding Club,Scotland,50,20,TRUE,20,50,60,0,130
15805,20/02/2010,Shalbourne Gliding Club,South East,50,30,TRUE,30,0,70,0,100
16279,20/02/2010,Buckminster Gliding Club,East Midlands,50,30,FALSE,30,40,40,10,120
20319,20/02/2010,Cambridge Gliding Centre,East Anglia,90,30,FALSE,30,30,130,10,200
3049,21/02/2010,Portmoak Gliding Club,Scotland,70,30,FALSE,30,10,90,10,140
3805,21/02/2010,Husbands Bosworth Gliding Club,East Midlands,130,60,FALSE,70,0,180,0,250
8020,21/02/2010,Buckminster Gliding Club,East Midlands,110,50,FALSE,50,30,100,0,180
15439,21/02/2010,London Gliding Club,East Midlands,120,60,FALSE,60,30,110,20,220
17633,21/02/2010,Cambridge Gliding Centre,East Anglia,90,40,FALSE,40,40,100,10,190
18465,21/02/2010,Gransden Lodge Gliding Club,East Anglia,80,40,TRUE,50,20,90,0,160
18614,21/02/2010,Shalbourne Gliding Club,South East,70,20,FALSE,20,20,100,0,140
20399,21/02/2010,Midland Gliding Club,West Midlands,140,90,TRUE,90,10,180,20,300
15289,22/02/2010,Lasham Gliding Society,South East,50,30,TRUE,30,50,30,20,130
1335,23/02/2010,Lasham Gliding Society,South East,80,40,TRUE,40,20,90,20,170
2863,23/02/2010,Buckminster Gliding Club,East Midlands,120,60,FALSE,70,10,110,10,200
11030,23/02/2010,Devon & Somerset Gliding Club,South West,140,50,TRUE,50,50,170,10,280
13598,23/02/2010,Wolds Gliding Club,East Midlands,110,70,TRUE,80,40,70,10,200
18532,23/02/2010,Midland Gliding Club,West Midlands,120,50,FALSE,50,40,90,10,190
22802,23/02/2010,Gransden Lodge Gliding Club,East Anglia,70,40,FALSE,40,0,60,10,110
22818,23/02/2010,Midland Gliding Club,West Midlands,80,50,FALSE,50,10,50,0,110
4446,24/02/2010,Buckminster Gliding Club,East Midlands,70,30,FALSE,30,30,50,10,120
6716,24/02/2010,Nympsfield Gliding Club,South West,70,30,FALSE,20,30,50,10,110
10987,24/02/2010,Norfolk Gliding Club,East Anglia,100,70,FALSE,60,40,140,20,260
15156,24/02/2010,London Gliding Club,East Midlands,150,90,TRUE,80,50,200,0,330
3156,26/02/2010,Buckminster Gliding Club,East Midlands,130,60,FALSE,50,10,140,20,220
6505,26/02/2010,Midland Gliding Club,West Midlands,100,40,FALSE,40,20,120,0,180
11082,26/02/2010,Talgarth Gliding Club,South Wales,50,20,FALSE,20,30,50,10,110
14544,26/02/2010,Devon & Somerset Gliding Club,South West,110,40,FALSE,40,50,120,10,220
16114,26/02/2010,Cambridge Gliding Centre,East Anglia,120,50,FALSE,50,0,140,10,200
18005,26/02/2010,Midland Gliding Club,West Midlands,100,40,FALSE,50,40,130,0,220
19043,26/02/2010,Dunstable Gliding Club,East Midlands,60,40,TRUE,40,10,40,0,90
23694,26/02/2010,Midland Gliding Club,West Midlands,70,30,TRUE,30,30,70,10,140
24880,26/02/2010,Cambridge Gliding Centre,East Anglia,140,50,FALSE,60,30,180,10,280
9479,27/02/2010,Portmoak Gliding Club,Scotland,110,50,TRUE,60,50,70,10,190
11191,27/02/2010,Cambridge Gliding Centre,East Anglia,100,30,TRUE,30,0,110,10,150
13249,27/02/2010,Yorkshire Gliding Club,North West,80,40,FALSE,40,20,50,10,120
19187,27/02/2010,Shalbourne Gliding Club,South East,120,60,FALSE,60,30,170,20,280
19984,27/02/2010,Yorkshire Gliding Club,North West,90,50,TRUE,50,0,50,20,120
24392,27/02/2010,Lasham Gliding Society,South East,80,30,FALSE,20,10,60,20,110
25892,27/02/2010,Yorkshire Gliding Club,North West,130,60,FALSE,70,20,130,20,240
632,28/02/2010,Buckminster Gliding Club,East Midlands,110,50,TRUE,50,0,110,20,180
9554,28/02/2010,Scottish Gliding Centre,Scotland,90,30,TRUE,30,10,130,10,180
14062,28/02/2010,Husbands Bosworth Gliding Club,East Midlands,90,40,FALSE,40,20,80,10,150
25286,28/02/2010,Scottish Gliding Centre,Scotland,120,50,FALSE,50,20,120,0,190
