Flight ID,Date,Gliding Club,Region,Scoring Distance (km),Speed (kph),Completed,Vpoints,Hpoints,Dpoints,Bpoints,Total Score
123,27-10-2020,Lasham Gliding Society,South East,310.0,80.0,False,80.0,10.0,280.0,10.0,380.0
124,02-11-2017,Lasham Gliding Society,South East,140.0,50.0,False,50.0,30.0,200.0,20.0,300.0
125,13-07-2019,Shalbourne Gliding Club,South East,380.0,120.0,True,100.0,40.0,490.0,10.0,640.0
126,17-09-2010,Devon & Somerset Gliding Club,South West,320.0,80.0,True,80.0,40.0,210.0,10.0,340.0
127,28-08-2013,Kent Gliding Club,South East,270.0,80.0,True,70.0,50.0,260.0,20.0,400.0
128,19-03-2022,Nympsfield Gliding Club,South West,270.0,80.0,True,100.0,10.0,310.0,10.0,430.0
129,27-05-2017,Nympsfield Gliding Club,South West,660.0,150.0,False,140.0,20.0,900.0,10.0,1070.0
130,03-10-2021,Bristol & Gloucestershire Gliding Club,South West,250.0,80.0,False,60.0,10.0,230.0,10.0,310.0
131,21-08-2011,Midland Gliding Club,West Midlands,440.0,80.0,True,90.0,10.0,430.0,0.0,530.0
132,15-03-2014,Lasham Gliding Society,South East,180.0,50.0,True,40.0,30.0,200.0,10.0,280.0
133,01-06-2021,Wolds Gliding Club,East Midlands,210.0,40.0,True,40.0,40.0,260.0,10.0,350.0
134,15-05-2022,Cambridge Gliding Centre,East Anglia,410.0,70.0,True,70.0,30.0,400.0,20.0,520.0
135,21-06-2020,Norfolk Gliding Club,East Anglia,680.0,140.0,True,130.0,10.0,780.0,20.0,940.0
136,10-07-2024,London Gliding Club,East Midlands,410.0,90.0,True,100.0,10.0,370.0,10.0,490.0
137,09-06-2017,London Gliding Club,East Midlands,420.0,100.0,True,90.0,30.0,390.0,0.0,510.0
138,26-05-2013,Lasham Gliding Society,South East,670.0,120.0,False,140.0,20.0,630.0,0.0,790.0
139,30-03-2014,Norfolk Gliding Club,East Anglia,230.0,80.0,True,90.0,0.0,260.0,20.0,370.0
140,04-02-2021,Devon & Somerset Gliding Club,South West,120.0,70.0,False,60.0,30.0,150.0,10.0,250.0
141,11-01-2015,Portmoak Gliding Club,Scotland,100.0,60.0,True,70.0,10.0,60.0,10.0,150.0
142,14-11-2023,Nympsfield Gliding Club,South West,100.0,30.0,True,30.0,20.0,130.0,0.0,180.0
143,21-11-2019,Lasham Gliding Society,South East,310.0,90.0,True,100.0,20.0,190.0,10.0,320.0
144,01-06-2015,Nympsfield Gliding Club,South West,470.0,100.0,True,100.0,30.0,440.0,20.0,590.0
145,24-04-2022,London Gliding Club,East Midlands,280.0,80.0,True,80.0,40.0,220.0,10.0,350.0
146,29-10-2011,Portmoak Gliding Club,Scotland,230.0,70.0,True,70.0,0.0,240.0,10.0,320.0
147,23-08-2010,Dunstable Gliding Club,East Midlands,220.0,60.0,True,60.0,40.0,210.0,0.0,310.0
148,13-08-2012,Lasham Gliding Society,South East,340.0,80.0,True,80.0,40.0,380.0,0.0,500.0
149,03-06-2023,Yorkshire Gliding Club,North West,280.0,50.0,True,50.0,0.0,350.0,0.0,400.0
150,18-10-2012,Buckminster Gliding Club,East Midlands,160.0,80.0,False,80.0,30.0,220.0,10.0,340.0
151,16-09-2014,Lasham Gliding Society,South East,700.0,200.0,True,190.0,10.0,1030.0,10.0,1240.0
152,13-06-2022,Portmoak Gliding Club,Scotland,600.0,110.0,True,90.0,50.0,670.0,0.0,810.0
153,10-02-2016,Gransden Lodge Gliding Club,East Anglia,110.0,60.0,True,60.0,10.0,110.0,10.0,190.0
154,05-12-2021,London Gliding Club,East Midlands,140.0,60.0,False,70.0,40.0,200.0,20.0,330.0
155,25-01-2013,Portmoak Gliding Club,Scotland,60.0,30.0,True,30.0,20.0,40.0,0.0,90.0
156,11-03-2021,Gransden Lodge Gliding Club,East Anglia,190.0,60.0,False,70.0,30.0,240.0,10.0,350.0
157,21-01-2017,Wolds Gliding Club,East Midlands,80.0,40.0,False,40.0,10.0,100.0,10.0,160.0
158,28-11-2021,Husbands Bosworth Gliding Club,East Midlands,140.0,60.0,False,60.0,40.0,90.0,0.0,190.0
159,13-05-2015,Shalbourne Gliding Club,South East,640.0,120.0,True,110.0,40.0,500.0,0.0,650.0
160,19-12-2014,Midland Gliding Club,West Midlands,80.0,50.0,True,60.0,20.0,80.0,10.0,170.0
161,22-08-2018,Talgarth Gliding Club,South Wales,690.0,200.0,True,210.0,40.0,360.0,10.0,620.0
162,10-01-2021,Midland Gliding Club,West Midlands,140.0,60.0,False,60.0,30.0,160.0,20.0,270.0
163,28-07-2014,Midland Gliding Club,West Midlands,370.0,110.0,True,110.0,10.0,300.0,10.0,430.0
164,19-01-2017,Shalbourne Gliding Club,South East,70.0,30.0,False,20.0,40.0,100.0,0.0,160.0
165,05-04-2013,Kent Gliding Club,South East,490.0,120.0,False,130.0,10.0,360.0,10.0,510.0
166,03-09-2012,Lasham Gliding Society,South East,370.0,120.0,True,120.0,30.0,330.0,0.0,480.0
167,15-12-2017,Yorkshire Gliding Club,North West,90.0,40.0,True,40.0,20.0,110.0,20.0,190.0
168,03-04-2023,Midland Gliding Club,West Midlands,650.0,130.0,True,150.0,30.0,460.0,10.0,650.0
169,17-06-2024,London Gliding Club,East Midlands,640.0,120.0,False,110.0,30.0,380.0,10.0,530.0
170,05-04-2015,Bristol & Gloucestershire Gliding Club,South West,590.0,170.0,True,180.0,50.0,580.0,0.0,810.0
171,09-07-2023,Portmoak Gliding Club,Scotland,590.0,160.0,False,180.0,40.0,330.0,0.0,550.0
172,11-09-2020,Cotswold Gliding Club,West Midlands,310.0,90.0,True,100.0,30.0,200.0,0.0,330.0
173,27-11-2016,Buckminster Gliding Club,East Midlands,160.0,60.0,False,60.0,30.0,190.0,10.0,290.0
174,30-11-2012,Cambridge Gliding Centre,East Anglia,200.0,60.0,True,50.0,50.0,270.0,20.0,390.0
175,25-09-2012,Norfolk Gliding Club,East Anglia,400.0,90.0,True,100.0,10.0,230.0,20.0,360.0
176,15-07-2013,Devon & Somerset Gliding Club,South West,640.0,230.0,True,190.0,30.0,890.0,20.0,1130.0
177,03-04-2014,Cambridge Gliding Centre,East Anglia,740.0,140.0,True,170.0,40.0,900.0,20.0,1130.0
178,19-06-2013,Cotswold Gliding Club,West Midlands,470.0,110.0,True,110.0,30.0,280.0,10.0,430.0
179,16-07-2014,Cambridge Gliding Centre,East Anglia,660.0,110.0,True,110.0,30.0,400.0,10.0,550.0
180,29-08-2015,Devon & Somerset Gliding Club,South West,530.0,120.0,True,130.0,10.0,530.0,10.0,680.0
181,14-08-2010,Husbands Bosworth Gliding Club,East Midlands,250.0,50.0,True,60.0,20.0,210.0,0.0,290.0
182,28-02-2015,Yorkshire Gliding Club,North West,80.0,40.0,False,30.0,20.0,100.0,20.0,170.0
183,04-09-2020,Nympsfield Gliding Club,South West,460.0,110.0,True,120.0,20.0,240.0,20.0,400.0
184,21-09-2019,Buckminster Gliding Club,East Midlands,640.0,110.0,True,120.0,20.0,830.0,0.0,970.0
185,15-01-2022,London Gliding Club,East Midlands,100.0,40.0,False,30.0,10.0,80.0,10.0,130.0
186,18-04-2023,Buckminster Gliding Club,East Midlands,390.0,90.0,True,110.0,50.0,240.0,0.0,400.0
187,26-01-2013,Wolds Gliding Club,East Midlands,70.0,50.0,False,50.0,10.0,70.0,20.0,150.0
188,12-09-2019,Bristol & Gloucestershire Gliding Club,South West,350.0,70.0,True,60.0,20.0,300.0,10.0,390.0
189,20-09-2024,Devon & Somerset Gliding Club,South West,410.0,80.0,True,80.0,40.0,520.0,0.0,640.0
190,15-10-2023,Lasham Gliding Society,South East,130.0,40.0,False,40.0,30.0,160.0,0.0,230.0
191,31-07-2010,Cotswold Gliding Club,West Midlands,260.0,60.0,True,70.0,40.0,190.0,0.0,300.0
192,08-11-2024,Wolds Gliding Club,East Midlands,120.0,30.0,True,30.0,30.0,170.0,0.0,230.0
193,09-12-2014,London Gliding Club,East Midlands,70.0,40.0,False,50.0,20.0,80.0,10.0,160.0
194,30-12-2024,Lasham Gliding Society,South East,60.0,20.0,True,20.0,40.0,80.0,10.0,150.0
195,31-10-2012,Lasham Gliding Society,South East,300.0,100.0,False,100.0,0.0,330.0,0.0,430.0
196,19-02-2016,London Gliding Club,East Midlands,140.0,80.0,False,70.0,10.0,210.0,0.0,290.0
197,21-05-2020,Dunstable Gliding Club,East Midlands,730.0,230.0,True,200.0,20.0,400.0,0.0,620.0
198,09-07-2020,London Gliding Club,East Midlands,620.0,150.0,True,150.0,40.0,610.0,20.0,820.0
199,20-02-2022,Lasham Gliding Society,South East,60.0,20.0,False,20.0,10.0,70.0,10.0,110.0
200,14-08-2018,Scottish Gliding Centre,Scotland,310.0,60.0,True,60.0,40.0,320.0,10.0,430.0
201,26-06-2024,Wolds Gliding Club,East Midlands,410.0,110.0,True,100.0,30.0,300.0,20.0,450.0
202,01-01-2024,London Gliding Club,East Midlands,140.0,60.0,False,60.0,20.0,110.0,20.0,210.0
203,28-09-2014,Norfolk Gliding Club,East Anglia,520.0,120.0,True,130.0,20.0,360.0,10.0,520.0
204,05-07-2013,Portmoak Gliding Club,Scotland,360.0,60.0,True,60.0,50.0,260.0,0.0,370.0
205,26-09-2011,Lasham Gliding Society,South East,700.0,160.0,False,130.0,20.0,850.0,10.0,1010.0
206,11-09-2022,Buckminster Gliding Club,East Midlands,600.0,100.0,False,100.0,30.0,710.0,0.0,840.0
207,22-12-2017,Midland Gliding Club,West Midlands,80.0,40.0,True,30.0,20.0,50.0,20.0,120.0
208,16-08-2023,Lasham Gliding Society,South East,560.0,130.0,False,140.0,20.0,460.0,20.0,640.0
209,16-01-2018,Scottish Gliding Centre,Scotland,120.0,70.0,False,80.0,50.0,70.0,10.0,210.0
210,19-03-2016,Cotswold Gliding Club,West Midlands,220.0,90.0,False,90.0,30.0,200.0,0.0,320.0
211,15-02-2015,Norfolk Gliding Club,East Anglia,80.0,30.0,False,40.0,50.0,110.0,0.0,200.0
212,29-06-2021,Scottish Gliding Centre,Scotland,190.0,30.0,False,30.0,40.0,170.0,20.0,260.0
213,25-07-2011,Shalbourne Gliding Club,South East,730.0,170.0,True,200.0,40.0,850.0,20.0,1110.0
214,28-03-2015,Norfolk Gliding Club,East Anglia,190.0,100.0,False,80.0,30.0,230.0,10.0,350.0
215,01-01-2022,Lasham Gliding Society,South East,100.0,50.0,False,50.0,30.0,50.0,20.0,150.0
216,11-10-2024,Midland Gliding Club,West Midlands,310.0,110.0,True,130.0,30.0,270.0,10.0,440.0
217,20-08-2023,Buckminster Gliding Club,East Midlands,250.0,60.0,True,60.0,0.0,130.0,10.0,200.0
218,09-02-2020,Yorkshire Gliding Club,North West,70.0,30.0,False,20.0,10.0,50.0,10.0,90.0
219,11-04-2012,Devon & Somerset Gliding Club,South West,310.0,80.0,True,70.0,30.0,420.0,10.0,530.0
220,09-10-2010,Buckminster Gliding Club,East Midlands,300.0,80.0,True,80.0,20.0,400.0,20.0,520.0
221,10-12-2016,Shalbourne Gliding Club,South East,110.0,50.0,False,50.0,20.0,150.0,10.0,230.0
222,12-04-2017,Kent Gliding Club,South East,330.0,90.0,True,90.0,20.0,290.0,10.0,410.0
223,04-04-2015,Gransden Lodge Gliding Club,East Anglia,200.0,60.0,True,70.0,40.0,220.0,10.0,340.0
224,07-02-2014,Yorkshire Gliding Club,North West,110.0,70.0,False,70.0,10.0,160.0,10.0,250.0
225,31-12-2022,Buckminster Gliding Club,East Midlands,150.0,80.0,False,80.0,0.0,140.0,20.0,240.0
226,16-01-2018,London Gliding Club,East Midlands,110.0,70.0,False,70.0,0.0,150.0,10.0,230.0
227,15-09-2017,Gransden Lodge Gliding Club,East Anglia,440.0,90.0,True,80.0,10.0,470.0,10.0,570.0
228,22-08-2022,Dunstable Gliding Club,East Midlands,360.0,100.0,True,90.0,10.0,210.0,0.0,310.0
229,04-04-2023,Cotswold Gliding Club,West Midlands,620.0,120.0,True,120.0,40.0,440.0,0.0,600.0
230,25-04-2020,Buckminster Gliding Club,East Midlands,320.0,70.0,True,70.0,40.0,330.0,0.0,440.0
231,19-11-2015,Portmoak Gliding Club,Scotland,300.0,120.0,True,100.0,10.0,260.0,0.0,370.0
232,16-09-2018,Lasham Gliding Society,South East,630.0,210.0,False,220.0,50.0,640.0,10.0,920.0
233,30-01-2016,Cambridge Gliding Centre,East Anglia,130.0,40.0,True,50.0,40.0,110.0,10.0,210.0
234,29-04-2016,London Gliding Club,East Midlands,640.0,200.0,False,200.0,40.0,760.0,20.0,1020.0
235,17-09-2022,Norfolk Gliding Club,East Anglia,430.0,110.0,False,110.0,0.0,290.0,10.0,410.0
236,28-08-2015,Wolds Gliding Club,East Midlands,340.0,70.0,False,80.0,30.0,500.0,20.0,630.0
237,25-03-2016,Shalbourne Gliding Club,South East,310.0,90.0,True,90.0,20.0,440.0,10.0,560.0
238,08-07-2014,Scottish Gliding Centre,Scotland,600.0,140.0,True,160.0,50.0,770.0,10.0,990.0
239,15-06-2020,Portmoak Gliding Club,Scotland,240.0,40.0,True,50.0,10.0,350.0,10.0,420.0
240,27-08-2017,Buckminster Gliding Club,East Midlands,320.0,90.0,True,100.0,40.0,470.0,10.0,620.0
241,17-08-2024,Husbands Bosworth Gliding Club,East Midlands,670.0,170.0,True,140.0,40.0,980.0,0.0,1160.0
242,12-07-2014,Kent Gliding Club,South East,260.0,50.0,True,50.0,20.0,160.0,10.0,240.0
243,22-09-2015,Buckminster Gliding Club,East Midlands,330.0,60.0,True,70.0,10.0,250.0,10.0,340.0
244,30-06-2016,Lasham Gliding Society,South East,510.0,110.0,False,100.0,30.0,640.0,10.0,780.0
245,04-12-2023,Portmoak Gliding Club,Scotland,80.0,30.0,False,30.0,50.0,60.0,10.0,150.0
246,28-03-2014,Yorkshire Gliding Club,North West,140.0,40.0,False,40.0,20.0,140.0,10.0,210.0
247,30-04-2020,Portmoak Gliding Club,Scotland,540.0,140.0,True,130.0,30.0,530.0,20.0,710.0
248,13-02-2019,Yorkshire Gliding Club,North West,50.0,20.0,False,20.0,20.0,50.0,10.0,100.0
